,id,href,name_rus,name_eng,rating,rating_count,critics_rating,imdb_rating,imdb_rating_count,year,duration,genres,countries
5,12252,/film/skiny-1992-12252/,Скины,Romper Stomper,7.0360000000000005,16346.0,79,6.8,34385,1992,94,"криминал,боевик,драма",Австралия
6,4873,/film/4873/,Фрэнки и Джонни,Frankie and Johnny,7.562,5658.0,78,6.7,24874,1991,118,"драма,мелодрама,комедия",США
7,678269,/film/678269/,Космическая станция 76,Space Station 76,4.963,1258.0,67,4.9,6742,2014,95,"фантастика,драма,комедия",США
9,4743,/film/4743/,Три мушкетера,The Three Musketeers,6.252999999999999,4066.0,31,6.4,44526,1993,105,"боевик,приключения,семейный,комедия,мелодрама","Великобритания,США,Австрия"
11,161180,/film/pevets-2006-161180/,Певец,El cantante,6.635,1052.0,25,5.5,4297,2006,116,"драма,музыка,биография",США
15,86964,/film/ad-2005-86964/,Ад,L'enfer,6.942,866.0,67,6.9,2216,2005,102,драма,"Италия,Франция,Бельгия,Япония"
17,477855,/film/477855/,Зона 51,Area 51,4.224,1211.0,17,4.2,10661,2015,95,"фантастика,ужасы,триллер",США
20,974817,/film/974817/,Стена,The Wall,6.257999999999999,3180.0,66,6.2,18654,2017,88,"триллер,драма,военный",США
21,277328,/film/varkraft-2016-277328/,Варкрафт,Warcraft,7.599,138208.0,28,6.9,217267,2016,123,"боевик,приключения,фэнтези","Китай,США,Канада,Япония"
24,596231,/film/596231/,Страховщик,Autómata,5.792999999999999,20433.0,29,6.1,47148,2014,110,"фантастика,боевик,триллер","Болгария,США,Канада,Испания"
25,79836,/film/tokiyskaya-povest-1953-79836/,Токийская повесть,Tôkyô monogatari,8.052999999999999,7120.0,100,8.2,40497,1953,136,драма,Япония
27,102787,/film/102787/,"Девушка, которая слишком много знала",La ragazza che sapeva troppo,7.013,799.0,71,7.1,3123,1963,86,"триллер,детектив","США,Италия"
28,237940,/film/skeptik-2007-237940/,Скептик,The Skeptic,5.574,1592.0,8,5.8,3649,2007,89,"триллер,ужасы",США
30,195429,/film/195429/,Смертельный номер,Death Defying Acts,6.48,4127.0,42,5.8,8862,2007,97,"триллер,драма,мелодрама","Великобритания,Австралия"
31,482078,/film/razdelitel-2011-482078/,Разделитель,The Divide,6.372999999999999,16064.0,24,5.8,32084,2011,122,"фантастика,ужасы,драма,триллер","США,Канада,Франция,Германия"
32,713798,/film/iz-tmy-2015-713798/,Из тьмы,The Hallow,5.245,6195.0,72,5.7,12666,2015,97,ужасы,"Великобритания,США,Ирландия"
36,9980,/film/voyna-i-mir-1956-9980/,Война и мир,War and Peace,6.664,2010.0,33,6.8,7641,1956,208,"драма,мелодрама,военный","США,Италия"
37,621,/film/621/,Дневник Бриджет Джонс,Bridget Jones's Diary,7.481,85164.0,80,6.7,197321,2001,97,"драма,мелодрама,комедия","Великобритания,США,Франция"
41,4311,/film/4311/,Его игра,He Got Game,7.254,4856.0,80,6.9,38621,1998,136,"драма,спорт",США
45,3607,/film/3607/,Тит – правитель Рима,Titus,7.417999999999999,2153.0,68,7.2,18350,1999,162,"триллер,драма,история","США,Великобритания,Италия"
46,901796,/film/v-poiske-film-proshchanie-2016-901796/,В поиске — фильм-прощание ,Looking: The Movie,7.332000000000001,721.0,88,7.4,4974,2016,86,"драма,комедия",США
52,677880,/film/va-bank-2013-677880/,Va-банк,Runner Runner,6.055,33604.0,7,5.6,56331,2013,88,"триллер,криминал",США
53,5610,/film/idushhiy-v-ogne-1986-5610/,Идущий в огне,Firewalker,6.132999999999999,714.0,0,5.0,4886,1986,101,"боевик,приключения,комедия",США
57,6899,/film/6899/,Короли самоубийства,Suicide Kings,7.167999999999999,2171.0,34,7.0,23811,1997,102,"триллер,комедия,драма,криминал,детектив",США
59,78079,/film/78079/,Черная книга,Zwartboek,7.691,15138.0,76,7.8,65596,2006,145,"триллер,драма,военный","Великобритания,Нидерланды,Бельгия,Германия"
64,487226,/film/posledniy-mamont-frantsii-2010-487226/,Последний Мамонт Франции,Mammuth,5.773,926.0,63,6.1,3093,2010,91,"драма,комедия",Франция
69,970085,/film/970085/,Как это заканчивается,How It Ends,5.3629999999999995,1197.0,21,5.0,28122,2018,113,"боевик,фантастика,приключения,драма,триллер,детектив",США
71,11617,/film/11617/,Простая формальность,Una pura formalità,7.811,6026.0,80,7.8,8042,1993,107,"триллер,драма,детектив,криминал","Италия,Франция"
